Title,Plot,Cast,Genre,Runtime,Director,Production House,Release Dates,Image URL,Rating,Total Ratings,Movie URL
Mahabhoj(2025),"PLOT Mahabhoj is a social drama set against Nepal’s political landscape. The film follows a group of ordinary individuals who rise against those who manipulate their lives for personal gain. It explores themes of rebellion, truth, and the fight for justice, tackling deep-rooted issues of political injustice and social inequality. The story revolves around a bank loan manager who desperately needs money and turns to his father for help—only to discover that his father's hard-earned savings have been stolen by a corrupt cooperative and a group of individuals for their own gain.","Gaumaya GurungDhanmaya, Dayahang Rai, Aaryan Sigdel, Khagendra Lamichhane, Malika Mahat, Basundhara Bhusal, Mohan Niraula, Aabha Aryal, Puskar Gurung, Binod Neupane, Anjana Baraili, Anoop Bikram Shahi, Buddhi Tamang, Kamal Mani Nepal",Drama,2h 13m,Dinesh Raut,Clock Work Creation,"30 Jestha, 2082, 13 June, 2025",https://img.youtube.com/vi/sN5buyM_dHw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/mahabhoj
Jante Bakhro(2025),"PLOT Jante Bakhro is a comedy drama film directed by Simosh Sunuwar and written by Pradeep Bhardwaj. The movie features Saugat Malla, Garima Sharma, and Asif Shah in lead roles. The story is inspired by a Nepali tradition where a special feast is prepared for wedding guests, known as ‘Jante Bakhro’. The film humorously explores the chaos and drama surrounding this tradition, blending cultural elements with witty storytelling.","Aasif Shah, Saugat MallaKamal, Garima Sharma, Rama Thapaliya, Lokendra Lekhak, Bishal Pahari, Kamal Devkota, Rusha Neupane, Samapika Gautam, Kusum Sharma, Kushal Gajmer, Sneha Joshi","Comedy,Drama",2h 15m,Simosh Sunwar,MUIN Entertainment,"23 Jestha, 2082, 6 June, 2025",https://img.youtube.com/vi/DR6Xlrm6fy8/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/jante-bakharo
Narasimha Avatar(2025),"PLOT Narsimha Avatar is an action-packed thriller set in Kathmandu, where a powerful businessman and gangster, Dijendra Pratap Singh, finds his empire threatened by a mysterious masked vigilante known as Narsimha. To restore order, Avinash Bikram Shah, a suspended police officer with a deep-seated grudge against Dijendra, is reinstated. Meanwhile, Subash, a young man recently returned from London, forms a bond with Kusum, unaware of their shared tragic past. As Subash’s connection to the masked vigilante is revealed, the story unfolds into a tale of vengeance, love, and justice, culminating in a climactic battle where Subash, as Narsimha, confronts Dijendra to avenge his family’s murder and bring peace to the city.","Rajesh HamalAvinash Bikram Shah, Niti Shah, Sanisha BhattaraiKusu, Saroj Khanal, Prasant TamrakarDijendra, Raj KatuwalSubash","Action,Drama",2h 4m,Diwakar Bhattrai,Creative Cine Arts,"9 Jestha, 2082, 23 May, 2025",https://img.youtube.com/vi/c0BoMzN7r_s/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/narsimha-avatar
Hello Kashiram(2025),"PLOT Hello Kashiram is a drama that follows the journey of Kashiram, a young man struggling with life’s challenges. With a stellar cast including Dilip Rayamajhi, Priyanka Karki, Arjun Gurung, Umesh Rai, and Sushil Pokharel, this film promises an emotional and engaging experience.","Dilip Rayamajhi, Surbir Pandit, Ramchandra Adhikari, Sushil Pokhrel, Umesh Mayalu","Comedy,Drama",1h 45m,Rim Bishwakarma,Redline Films P.Ltd,"2 Jestha, 2082, 16 May, 2025",https://img.youtube.com/vi/HW2LwSeF6xQ/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/hello-kashiram
Ke Ghar Ke Dera - Ghar No. 2(2025),"PLOT Ke Ghar Ke Dera - Ghar No. 2 follows Raunak, a man struggling to hold onto his ancestral home as financial pressures and emotional conflicts mount. The house, once a symbol of stability, becomes a silent witness to hidden struggles and unresolved pasts. As debts rise and unexpected visitors stir old wounds, relationships shift, and long-buried truths begin to surface. The story unfolds with quiet intensity, capturing themes of love, loss, and the deep, mysterious bond between people and the places they call home.","Keki Adhikari, Upasana Singh Thakuri, Prakash Ghimire, Srijana Napit, Sanjog Rasaili, Rubina Ghimire, Khagendra Lamichhane, Nischal Basnet, Aaryan Sigdel",Drama,2h 27m,Dipendra K Khanal,"Nataraj Creation,A Plus Entertainment","2 Jestha, 2082, 16 May, 2025",https://img.youtube.com/vi/Hd9DQcl8XCM/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/k-ghar-k-dera-ghar-no-2
Jaar(2025),"PLOT Jaar is a Nepali movie directed by Phurba Tshering Lama, starring Saugat Malla, Geetanjali Thapa, and Anoop Bikram Shahi. Set in 19th-century Nepal under the reign of Jung Bahadur Rana, the film delves into the societal consequences of extramarital relationships. At its core is the turbulent bond between Rudraman and Thuli, who must confront both personal struggles and relentless social scrutiny. As they wrestle with condemnation and emotional turmoil, the story unfolds as a poignant exploration of love, betrayal, and redemption.","Saugat Malla, Anoop Bikram Shahi, Geetanjali ThapaThuli",Drama,1h 55m,Phurba Tshering Lama,Ferry Tale Pictures,"26 Baisakh, 2082, 9 May, 2025",https://img.youtube.com/vi/Pa6AA6ly4O8/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/jaar
Unko Sweater(2025),"PLOT Unko Sweater, the film weaves a tale of love, warmth, and human connection. Dharanidhar (Bipin Karki) and Phool (Miruna Magar) become the heartbeat of this journey, where emotions speak louder than words and love is found in the quietest gestures. Every stitch in the fabric of their story binds them in moments of tenderness, loss, and longing—turning an ordinary sweater into a profound symbol of affection. Promising an unforgettable cinematic experience, the film embraces the beauty of love in its simplest, most powerful form.","Bipin KarkiDharanidhar, Miruna MagarPhool, Parikshya Limbu, Alex Bishwokarma, Wilson Bikram Rai, Sunil Pokharel, Maotse Gurung, Prem Subba, Suraj Tamu, Menuka Pradhan",Drama,2h 26m,Nabin Chauhan,Artmandu,"26 Baisakh, 2082, 9 May, 2025",https://img.youtube.com/vi/-g4HhCkeU8g/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/unko-sweater
Jhilko:The Spark(2025),"PLOT Jhilko: The Spark , a Nepali social drama directed by Yadav Kumar Bhattarai—renowned for his work on Jhola—delves into the profound impact of digital addiction. With a keen focus on excessive mobile phone usage, the film unpacks its ripple effects on individuals and family dynamics. Through compelling storytelling, it sheds light on the emotional and social challenges that arise from the unchecked influence of technology in daily life.","Barsha Siwakoti, Sunil Pokharel, Bishal Pokharel, Bhola Raj Sapkota, Aayushi Dhakal",Drama,1h 30m,Yadhav Kumar Bhattarai,Media For Culture,"19 Baisakh, 2082, 2 May, 2025",https://img.youtube.com/vi/u3h_p2jWFAE/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/jhilko-the-spark
Khel(2025),"PLOT Khel is a suspenseful thriller that blends elements of Nepali folklore, tradition, and spirituality. The story revolves around four friends living in a hostel in Kathmandu, whose dark pasts come back to haunt them as they uncover terrifying events.","Surakshya PantaGina, Hena NagarkotiAnika, Monika ThapaYogna, Nikita Acharya, Bhola Raj Sapkota, Mithila Sharma, Sarita Giri, Samapika GautamEsha",Thriller,2h 0m,Anurag Pradhan,Shirupatey Films,"12 Baisakh, 2082, 25 April, 2025",https://img.youtube.com/vi/gkWDsIzODqw/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/khel
Bhuthan – The World’s Happiest Man(2025),"PLOT The Nepali movie Bhuthan - The World's Happiest Man explores themes of happiness, resilience, and human connection. It tells the story of Bhutanese-Nepali refugees who have settled in the Ohio-Pennsylvania area, facing feelings of alienation and displacement while trying to find joy and purpose in their new lives. The film boasts a talented cast, including Haribansh Acharya, Dayahang Rai, and Hollywood actor Bruce Dern. Directed by Binod Paudel, known for his critically acclaimed works like Bulbul, the movie offers a heartfelt depiction of the longing for a homeland that no longer exists, reflecting the universal search for happiness amid life's challenges.","Bruce Dern, Puja Chand, Bhuwan Pyakurel, Aditi Pyakurel, Hari Bansha Acharya, Dayahang Rai, Richa Ghimire, Joes Pandey, Anuradha Majumder",Drama,1h 53m,Binod Poudel,Mad Monkey Films,"12 Baisakh, 2082, 25 April, 2025",https://img.youtube.com/vi/4pa-Hlg4Wq8/hqdefault.jpg,,,https://www.thefilmnepal.com/movie/bhuthan
